trade_id,year,region1,region2,industry1,industry2,amount
11472,2022,CN,CN,REALE,FURNI,10411.12
1408,2022,CN,CN,BUSIN,93197,10391.63
8396,2022,CN,CN,MOTOR,CRUDE,10376.89
11807,2022,CN,CN,RESEA,COMPU,10369.14
7148,2022,CN,CN,LANDT,PUBLI,10274.44
1438,2022,CN,CN,BUSIN,CRUDE,10240.44
10041,2022,CN,CN,PFERT,OILSE,10235.10
1475,2022,CN,CN,BUSIN,INSUR,10228.61
10386,2022,CN,CN,POSTT,HEALT,10174.37
13173,2022,CN,CN,TEXTI,BUSIN,10159.70
9749,2022,CN,CN,PAPER,PFERT,10058.23
5222,2022,CN,CN,FOOD5,HEALT,10024.42
5911,2022,CN,CN,GLASS,FABRI,9976.33
6401,2022,CN,CN,HOTEL,WHOLE,9937.40
173,2022,CN,CN,AIRTR,BUSIN,9924.61
14309,2022,CN,CN,WHOLE,STEAM,9917.12
6102,2022,CN,CN,HEALT,RESEA,9879.94
12297,2022,CN,CN,RUBBE,WHOLE,9877.62
246,2022,CN,CN,AIRTR,PUBLI,9816.59
4873,2022,CN,CN,FINAN,SALEM,9801.87
9697,2022,CN,CN,PAPER,FISH5,9747.68
13097,2022,CN,CN,SUPPO,OFFIC,9630.07
8473,2022,CN,CN,MOTOR,RAILW,9620.24
10682,2022,CN,CN,PRINT,CONST,9610.79
474,2022,CN,CN,AUXIL,AUXIL,9581.29
14317,2022,CN,CN,WHOLE,VEGET,9579.87
12565,2022,CN,CN,SEACO,WHOLE,9566.21
8515,2022,CN,CN,NAPHT,CHEM1,9517.78
4795,2022,CN,CN,FINAN,ELECT,9480.93
1798,2022,CN,CN,CHEM1,CERAM,9477.73
6659,2022,CN,CN,INSUR,BITUM,9462.28
1274,2022,CN,CN,BITUM,PFERT,9439.77
2413,2022,CN,CN,COMPU,RESEA,9438.03
4770,2022,CN,CN,FINAN,CHEM1,9410.84
14247,2022,CN,CN,WHOLE,GLASS,9346.74
10681,2022,CN,CN,PRINT,COMPU,9251.24
12462,2022,CN,CN,SEACO,BASIC,9236.82
5624,2022,CN,CN,FURNI,PUBLI,9223.65
5559,2022,CN,CN,FURNI,FABRI,9197.84
1782,2022,CN,CN,CHEM1,93197,9186.07
13112,2022,CN,CN,SUPPO,RAILW,9169.50
7727,2022,CN,CN,MEAT1,FOOD5,9154.68
9589,2022,CN,CN,PADDY,PFERT,9143.96
14312,2022,CN,CN,WHOLE,SUPPO,9111.18
496,2022,CN,CN,AUXIL,CONST,9068.55
778,2022,CN,CN,BASIC,RADIO,9003.95
7032,2022,CN,CN,KEROS,PUBLI,8999.90
10852,2022,CN,CN,PROCE,FISH5,8993.22
